n_index,title,writer,date,look,like
867903,실제 사용자가 들려주는 리드앤톡 영어도서관 사용 경험담?사진,리드앤톡영어도서관,2018.11.19.,449,3
907513,리드앤톡 영어도서관 학부모설명회 지원?사진,리드앤톡영어도서관,2019.03.16.,447,1
840869,학부모님들이 스스로 찾아오게 만드는 방법은 결국~?사진?[2],리드앤톡영어도서관,2018.08.23.,423,1
882002,서울지역 학부모 설명회를 지원을 해드리고 나서 느낀 점?사진,리드앤톡영어도서관,2019.01.03.,422,2
836881,리드앤톡 영어도서관이 활성화되는 중요한 이유?사진?[3],리드앤톡영어도서관,2018.08.03.,420,2
1026243,영어토론 수업까지 원서로?사진링크,리드앤톡영어도서관m,2020.03.05.,419,2
837344,내년부터 본격화 될 것으로 예측되는 최악의 불황에 대한 대비?[3],리드앤톡영어도서관,2018.08.06.,414,2
819617,바람직한 원생수 증가패턴?[1],리드앤톡영어도서관,2018.06.05.,412,1
1023161,오늘의 수업과 감동의 선물?링크,리드앤톡영어도서관m,2020.02.27.,403,2
884221,아무 가맹점이나 받아들였던 프랜차이즈들의 종말,리드앤톡영어도서관,2019.01.06.,403,2
802978,피크타임 때 25대의 컴퓨터로는 부족합니다.?사진?[2],리드앤톡영어도서관,2018.04.18.,400,2
878330,실용적으로 영어도서관을 구축한 리드앤톡영어도서관 사진 모음?사진동영상,리드앤톡영어도서관,2018.12.18.,397,4
809118,영어도서관은 아직도 미개척분야~?사진?[1],리드앤톡영어도서관,2018.05.04.,385,2
1043952,6개월 만에 돌아온 학생의 놀라운 영어실력?사진,리드앤톡영어도서관m,2020.04.24.,380,1
874737,리드앤톡 영어도서관에서 벌어지는 이런 저런 일들?사진?[3],리드앤톡영어도서관,2018.12.14.,379,1
836047,"축소, 폐업이 난무하는 불경기에 확장, 2호점, 워라벨을 논하는 리드앤톡 영어도서관 원장님들?[2]",리드앤톡영어도서관,2018.07.29.,378,1
1030087,문법을 빨리 시작하는 이유?링크,리드앤톡영어도서관m,2020.03.18.,368,2
800406,불경기에도 신규가맹과 확장이전이 계속되는 이유는??사진?[2],리드앤톡영어도서관,2018.04.08.,356,2
839327,성장의 경험을 함께 나누고 싶습니다.?사진,리드앤톡영어도서관,2018.08.17.,349,2
822226,영어도서관에서 Speaking을 한다면 어떤 방식으로??사진?[1],리드앤톡영어도서관,2018.06.11.,345,1
807571,초등영어에서 가장 중요한 것은??사진?[1],리드앤톡영어도서관,2018.04.28.,343,2
822118,함께 힘을 합치면 겁날게 없습니다?사진,리드앤톡영어도서관,2018.06.10.,338,0
819929,리드앤톡 영어도서관의 성장패턴?[1],리드앤톡영어도서관,2018.06.05.,334,4
815522,유학파 선생님 VS 국내파 선생님?[1],리드앤톡영어도서관,2018.05.24.,333,2
949030,전국 각지에서 공부방 -> 학원으로 확장하는 원장님들?사진,리딩mentor,2019.07.15.,331,0
838208,리드앤톡영어도서관도 2018년 8월이 가장 뜨겁습니다.?사진,리드앤톡영어도서관,2018.08.11.,328,0
1045144,"코로나, 온라인개학으로 학원이 힘드시다면?사진링크",리드앤톡영어도서관m,2020.04.29.,325,1
880487,과거에 시장을 지배하던 프랜차이즈가 점점 쇠락해가는 이유와 앞으로의 생존방법?사진,리드앤톡영어도서관,2018.12.23.,317,2
845019,공부방에서 학원으로 확장이전하는 가맹센터들이 많이 나오고 있습니다.?사진,리드앤톡영어도서관,2018.09.09.,309,0
816744,영어도서관 프로그램을 도입했던 상당수의 학원들이 실패한 이유는??사진?[1],리드앤톡영어도서관,2018.05.28.,305,4
982771,창업비용을 낮춰드리기 위해 인테리어도 도움드리는 리드앤톡영어도서관?사진,리드앤톡영어도서관,2019.11.02.,304,1
848581,학원성공의 여부를 결정하는 학원아이덴티티?사진,리드앤톡영어도서관,2018.09.20.,302,2
850911,리드앤톡 영어도서관 상위레벨 학습자들 워크북 샘플입니다.?사진,리드앤톡영어도서관,2018.09.23.,301,1
890631,교습소로 신규개원한 창원반림센터?사진?[1],리드앤톡영어도서관,2019.01.26.,296,0
806228,"108개 학원을 가맹시킨 것이 아니라, 같은 생각을 가진 108분의 원장님들이 모이셨습니다.?사진동영상?[2]",리드앤톡영어도서관,2018.04.25.,296,3
835623,김밥천국 vs 사골곰탕집 그리고 영어도서관?사진동영상?[2],리드앤톡영어도서관,2018.07.28.,293,1
839513,어머님들이 먼저 연락을 주시는 이유?사진?[1],리드앤톡영어도서관,2018.08.20.,292,1
1024101,원서읽는 초 6학년 영어 실력은 어느정도??사진,리드앤톡영어도서관m,2020.03.02.,289,1
815283,이미지로 보는 리드앤톡 영어도서관~~~?사진?[1],리드앤톡영어도서관,2018.05.23.,289,0
826727,초등학생이 writing 이렇게 하면 어머님들도 감동받으십니다?사진동영상,리드앤톡영어도서관,2018.06.28.,288,0
880667,중등부도 영어원서 수업을 해야 진정한 영어도서관 - 중등부를 영어도서관으로 변모시키는 방법 및 과정은??사진?[1],리드앤톡영어도서관,2018.12.23.,287,1
823046,리드앤톡 영어도서관에서 4년 6개월 학습한 학생의 렉사일지수는??사진,리드앤톡영어도서관,2018.06.13.,287,0
821005,2018년 리드앤톡 영어도서관 전국가맹센터 워크샾 개최?사진?[1],리드앤톡영어도서관,2018.06.08.,286,1
949651,불경기에 확장 이전하는 학원의 비결?사진,리딩mentor,2019.07.18.,279,1
821391,"작은 음식점은 대표메뉴, 작은 영어학원은 핵심커리큘럼?사진?[1]",리드앤톡영어도서관,2018.06.09.,278,2
868575,리드앤톡 영어도서관에서 Book Report를 쓰게 하지 않는 이유?사진,리드앤톡영어도서관,2018.11.26.,277,3
815724,영어도서관 수업사례 - 로알드달 Matilda (중1여학생)?사진?[1],리드앤톡영어도서관,2018.05.24.,272,2
818411,리드앤톡 영어도서관 전국가맹센터 워크샾?사진?[1],리드앤톡영어도서관,2018.05.31.,270,1
801138,리드앤톡이라는 브랜드를 함께 만들어 가는 전국 가맹센터들?사진?[2],리드앤톡영어도서관,2018.04.12.,270,3
892636,실제 상황 !?사진,리딩mentor,2019.02.01.,267,2
812182,차별화된 영어도서관의 사례들?사진,리드앤톡영어도서관,2018.05.14.,266,1
906654,리드앤톡 영어도서관의 아이덴티티?사진동영상,리드앤톡영어도서관,2019.03.13.,254,3
825043,ORT 4단계에서 시작해서 2년만에 로알드달 시리즈 진입?사진?[1],리드앤톡영어도서관,2018.06.21.,254,2
1034036,20년 3월 우수학생 소개?링크,리드앤톡영어도서관m,2020.03.25.,248,2
890440,전년도에 비해 이번 겨울방학은 리드앤톡 영어도서관 의 학생수 증가 패턴이 달라지고 있습니다.?사진?[1],리드앤톡영어도서관,2019.01.25.,248,1
834968,자기주도학습의 최고경지?동영상?[1],리드앤톡영어도서관,2018.07.26.,247,2
882463,진정한 올인원 영어도서관이란 이런 것입니다. (사용료 안내 포함)?동영상,리드앤톡영어도서관,2019.01.04.,246,1
818806,경쟁력있는 영어도서관이 되려면??사진?[1],리드앤톡영어도서관,2018.06.01.,246,1
900640,최근 가맹계약으로 본 업계의 동향?[2],리드앤톡영어도서관,2019.02.28.,243,0
1026999,3년동안 영어 올 A등급 학생과 함께?링크,리드앤톡영어도서관m,2020.03.10.,240,0
805745,제대로 영어도서관 운영하려면 수업과정을 어떻게 짜야할까??사진?[2],리드앤톡영어도서관,2018.04.24.,238,2
872886,ESL 방식의 영어학습법이 점점 자리를 읽어가는 이유,리드앤톡영어도서관,2018.12.02.,236,1
810776,누구나 꿈꾸는 영어학원?사진?[1],리드앤톡영어도서관,2018.05.11.,233,1
908487,리드앤톡 영어도서관은 협력 & 공유합니다.?사진,리드앤톡영어도서관,2019.03.21.,229,0
864800,리드앤톡 영어도서관이 다른 영어도서관들과 근본적으로 다른 이유?동영상,리드앤톡영어도서관,2018.11.11.,226,2
809414,영어도서관을 성공적으로 운영하는 방법?사진?[3],리드앤톡영어도서관,2018.05.09.,225,2
874086,"스마트폰과 영어원서, 그리고 리드앤톡 영어도서관?사진?[1]",리드앤톡영어도서관,2018.12.06.,223,1
886590,리드앤톡 영어도서관 150호점 돌파?사진동영상,리드앤톡영어도서관,2019.01.17.,215,2
1032670,영어도서관 브랜드 고민 종결?링크,리드앤톡영어도서관m,2020.03.23.,214,1
833323,학원의 차별화를 위해서는 우리학원만 사용할 수 있는 컨텐츠와 시스템이 필요합니다.?사진,리드앤톡영어도서관,2018.07.22.,212,0
801439,미국(식)영어도서관프로그램보다 리드앤톡 영어도서관의 실력향상 속도가 빠른 이유 (퀴즈로 본 ESL VS EFL 학습방식의 차이점)?사진?[2],리드앤톡영어도서관,2018.04.13.,211,2
844499,성장에는 기다림이 필요합니다. (계속 이어지는 가맹점들의 확장소식을 듣고~)?사진,리드앤톡영어도서관,2018.09.02.,209,2
950583,영어도서관에 드디어 한국형 Writing 프로그램 등장~?동영상,리드앤톡영어도서관,2019.07.19.,207,2
1034899,구문독해 원서다독 전문영어도서관?링크,리드앤톡영어도서관m,2020.03.30.,206,1
1032256,ORT 정독프로그램으로 모의고사까지 완성?링크,리드앤톡영어도서관m,2020.03.20.,204,2
958453,애매한 학원 취급받지 않으려면?동영상?[1],잉글리쉬플랫폼,2019.08.19.,204,1
812554,학부모님들이 신뢰할 수 밖에 없도록 만드는 영어도서관 워크북 샘플?사진동영상,리드앤톡영어도서관,2018.05.15.,204,2
831666,리드앤톡영어도서관을 보조 프로그램으로 권하지 않는 이유,리드앤톡영어도서관,2018.07.13.,203,0
844186,일목요연하게 잘 정리한 리드앤톡 영어도서관 안내자료 (작성자 파주목동센터원장님 + 파주동패센터 원장님),리드앤톡영어도서관,2018.08.31.,200,0
827734,가맹사업을 하면서 학원운영을 놓지 않는 이유??사진,리드앤톡영어도서관,2018.07.02.,200,1
814573,원생수 증가의 비결?사진,리드앤톡영어도서관,2018.05.20.,200,2
832379,모든 영어학원 원장님들이 꿈꾸는 영어학원?사진,리드앤톡영어도서관,2018.07.17.,198,2
956208,여기에 뭐가 더 필요할까요? ㅠㅠ?사진?[2],잉글리쉬플랫폼,2019.08.09.,196,2
907091,리드앤톡 원장님의 후기?사진,리딩mentor,2019.03.15.,196,1
886190,혼자서 시행착오를 겪다가 문닫는 것이 영어도서관입니다. (함께 연대해서 효율적인 시스템을 구축하는 것이 필요합니다.)?사진?[2],리드앤톡영어도서관,2019.01.15.,196,4
948737,영어도서관으로 110명 이상의 학생을 유치한 학원의 성공비결?사진,리드앤톡영어도서관,2019.07.14.,194,0
836468,홍보보다는 수업연구가 살길~ 영업보다는 개발이 살 길~ 구슬이 서말이라도 꿰어야 보배~?동영상?[1],리드앤톡영어도서관,2018.08.02.,192,4
889764,리드앤톡의 특징과 비용. 한 방에 정리하기!?사진,리딩mentor,2019.01.22.,191,2
830798,"허세영어, pretending 영어는 이제 그만~?사진?[3]",리드앤톡영어도서관,2018.07.11.,188,1
814993,"출산율 하락에 따른 학원사업의 어려움, 그리고 대비방법?사진",리드앤톡영어도서관,2018.05.21.,187,0
803396,거꾸로 영업하는 영어도서관?사진?[2],리드앤톡영어도서관,2018.04.19.,187,1
837694,잘 기른 학생을 큰 학원에 빼앗기는 작은 학원의 운명을 극복하려면 ~?사진,리드앤톡영어도서관,2018.08.07.,186,1
804567,프랜차이즈 시대의 종말과 대안 - 원장님들이 함께 만들어나가는 프레미엄 브랜드 전략?사진?[8],리드앤톡영어도서관,2018.04.20.,186,2
822651,"우수학생을 만들어내고, 우수학생을 끌어들이는 영어도서관이 되려면??사진링크?[3]",리드앤톡영어도서관,2018.06.13.,184,0
952737,고등부까지 원서읽기로 커버가 될까요??사진,잉글리쉬플랫폼,2019.08.02.,183,1
903095,레벨테스트 프로그램 개발완료?사진,리드앤톡영어도서관,2019.03.05.,183,2
948124,확장이전 하는 리드앤톡 원장님들.?사진,리딩mentor,2019.07.12.,181,0
1037963,영어원서로 온라인수업?링크,리드앤톡영어도서관m,2020.04.09.,180,0
884328,리드앤톡 영어도서관 소개 (일반적 사항)?사진동영상,리드앤톡영어도서관,2019.01.08.,179,2
834655,"가맹센터 근처에 있는 학원, 공부방, 교습소에서 문의주는 경우가 점점 늘어나고 있습니다.?동영상",리드앤톡영어도서관,2018.07.24.,179,0
851227,영어도서관의 서열화와 리드앤톡 영어도서관의 포지셔닝?사진,리드앤톡영어도서관,2018.09.27.,177,2
834449,리드앤톡 프로그램을 사용하는 원장님들의 반응을 직접 들어보세요.?사진,리드앤톡영어도서관,2018.07.23.,177,0
825634,더 이상 외롭지 않은 리드앤톡 영어도서관 원장님들?사진,리드앤톡영어도서관,2018.06.24.,177,1
832803,"영어도서관 프로그램으로 Writing, Speaking까지 커버한다면??동영상",리드앤톡영어도서관,2018.07.20.,176,2
828925,학교에도 리드앤톡 영어도서관이 들어갑니다.,리드앤톡영어도서관,2018.07.03.,176,1
946965,[강서화곡센터] 학원으로 확장이전?사진,리딩mentor,2019.07.10.,175,0
955450,리드앤톡 영어도서관의 폐업율이 낮은 이유?사진,리드앤톡영어도서관,2019.08.06.,174,1
1039892,시간낭비하지 않는 영어공부법?링크,리드앤톡영어도서관m,2020.04.10.,173,0
863708,불황기에 영어도서관이 호황을 맞이하려면~?사진,리드앤톡영어도서관,2018.11.05.,172,0
801052,"파닉스에서 뉴베리, 로알드달까지 3년에 가능한 영어학습방식에 사용되는 워크북 샘플?[2]",리드앤톡영어도서관,2018.04.10.,171,4
904181,원장님들이 직접 들려주는 영어도서관 이야기?사진,리드앤톡영어도서관,2019.03.11.,169,1
820667,상호협력하는 리드앤톡 영어도서관 가맹센터 커뮤니티 문화?[1],리드앤톡영어도서관,2018.06.07.,169,1
832025,실력이 폭풍성장하면 원생수도 동반 상승하는 것이 절대진리입니다.?사진,리드앤톡영어도서관,2018.07.14.,164,0
1036349,리드앤톡 4월 우수학생사례 경기안산?사진링크,리드앤톡영어도서관m,2020.04.03.,163,1
837802,영어도서관의 성공여부는 눈에 보이지 않는 영역이 결정한다.?[1],리드앤톡영어도서관,2018.08.09.,162,1
814143,영어도서관도 결국은 통계적 데이터로 검증을 받아야 합니다.?사진?[1],리드앤톡영어도서관,2018.05.18.,162,2
883964,점점 바람을 타고 있는 리드앤톡 영어도서관 가맹센터들~ ^^?사진,리드앤톡영어도서관,2019.01.04.,160,3
912546,리드앤톡의 워크북 샘플 공개!?사진,리딩mentor,2019.04.05.,159,1
825899,신규등록과 신규가맹이 유사한 패턴으로 증가,리드앤톡영어도서관,2018.06.27.,159,1
915809,[리드앤톡] 구리 갈매센터 학생 사례?사진,리딩mentor,2019.04.10.,158,0
880897,치열한 경쟁에서 살아남을 수 밖에 없는 강한 영어도서관을 만들려면??동영상,리드앤톡영어도서관,2018.12.26.,158,2
859228,리드앤톡 영어도서관 워크북 표지디자인 리뉴얼 & 그래머 워크북 인쇄소본 공급개시?사진,리드앤톡영어도서관,2018.11.01.,158,0
895232,확장이전하는 가맹센터들이 점점 많아지고 있습니다.?사진,리드앤톡영어도서관,2019.02.21.,155,2
842798,이렇게 하는 것이 서로 살길~?사진,리드앤톡영어도서관,2018.08.28.,155,1
808247,전문영어도서관 VS 서브형 영어도서관?[1],리드앤톡영어도서관,2018.05.01.,153,0
890161,많은 원서읽기 프로그램에서 이야기하지 않는 불편한 진실 한 가지 - 리드앤톡 용인죽전센터 장우림 원장님 칼럼,리드앤톡영어도서관,2019.01.22.,151,0
856752,"5차 업그레이드 종료, 9~10월 신규가맹센터, 6차 업그레이드 내용",리드앤톡영어도서관,2018.10.31.,151,0
822507,여전히 우왕좌왕하는 영어도서관이 제대로 뿌리를 내리려면~?사진?[1],리드앤톡영어도서관,2018.06.12.,149,1
885561,전국 최고수준의 화상영어 Debate?사진,리드앤톡영어도서관,2019.01.11.,148,3
847519,가맹센터 학부모 설명회 지원 그리고 영어원서학습법 및 평가방식의 표준모델?사진,리드앤톡영어도서관,2018.09.12.,147,1
946356,영어학원이 망하는 근본적인 이유와 리드앤톡 영어도서관이 안 망하는 이유?사진,리딩mentor,2019.07.09.,146,3
892086,"Phonics부터 Newbery, TED까지 가능하죠.?사진동영상",리딩mentor,2019.01.28.,146,1
946059,"어려운 시기 혼자 애쓰지 말고, 같은 방향을 추구하는 학원들과 함께 이겨내는 것이 옳습니다.?사진동영상",리드앤톡영어도서관,2019.07.08.,142,2
865506,항상 연구하고 공부하는 리드앤톡 영어도서관 원장님들~?사진,리드앤톡영어도서관,2018.11.13.,142,1
1003246,리드앤톡 제 5차 사업설명회 후기입니다.?사진,리드앤톡영어도서관m,2019.12.27.,140,1
799434,영어원서 퀴즈 프로그램의 차별화 - 유형별 퀴즈와 분석장치 - 리드앤톡 영어도서관?사진,리드앤톡영어도서관,2018.04.06.,139,0
845487,신규계약을 위한 영업보다는 확장이전하는 기존의 가맹점들 지원에 집중?사진,리드앤톡영어도서관,2018.09.11.,138,0
951027,"""불경기에도 리드앤톡영어도서관 가맹센터 원생수는 꾸준히 성장 중""",리드앤톡영어도서관,2019.07.20.,136,1
807065,치열한 경쟁에서 살아남기 위한 방법 - 컨텐츠의 수준과 활용법을 높여라.?사진?[1],리드앤톡영어도서관,2018.04.27.,136,2
1028794,창원대방센터 오픈소식 등?링크,리드앤톡영어도서관m,2020.03.13.,134,3
1022748,원서 읽기의 필수는 문법?링크,리드앤톡영어도서관m,2020.02.25.,134,2
843874,이렇게 하면 성공한다 - 실제 사용자들 이야기입니다.,리드앤톡영어도서관,2018.08.29.,134,0
1031657,효과적! 효율적! 학원대체형 전문영어도서관 리드앤톡입니다.?동영상링크,리드앤톡영어도서관m,2020.03.19.,133,1
823537,영어공부를 재미있다고 생각하는 시각과 재미없다고 생각하는 시각이 빚어내는 큰 차이점?사진,리드앤톡영어도서관,2018.06.17.,133,0
863526,학부모님들께서 본사에 전화를 해서 리드앤톡영어도서관 가맹센터 전화번호를 물어보십니다.,리드앤톡영어도서관,2018.11.02.,132,0
953076,"영어도서관 성공하는 법, 망하지 않는 법?사진",잉글리쉬플랫폼,2019.08.05.,131,2
823453,신규워크북 출간안내 ~The little prince?사진,리드앤톡영어도서관,2018.06.15.,131,2
1018067,예비 초 6학년 학생?사진링크,리드앤톡영어도서관m,2020.02.12.,130,1
964010,자랑할 만한 영재학생이 없으면 학원 망할까요??사진,잉글리쉬플랫폼,2019.09.03.,130,0
873094,성공하는 영어도서관 VS 실패하는 영어도서관?사진,리드앤톡영어도서관,2018.12.04.,130,0
1006346,확장이전하는 가맹센터 소식 + 부산 oo센터 학부모설명회 후기?사진,리드앤톡영어도서관m,2020.01.08.,129,1
838727,"영어도서관은 학생도 가이드를 받아야 하고, 학원장님들도 가이드를 받아야 합니다.",리드앤톡영어도서관,2018.08.12.,129,2
817233,어려운 시기를 함께 이겨내기 위한 시도?사진?[1],리드앤톡영어도서관,2018.05.30.,129,1
1018537,리드앤톡 영어도서관 확장이전 사례들?링크,리드앤톡영어도서관m,2020.02.14.,128,2
964277,사기꾼 VS 달변가?사진,잉글리쉬플랫폼,2019.09.05.,127,0
808637,"모두가 다 이길 수 없는 제로섬 게임이라면, 우리편이 이겨야겠죠.?사진?[1]",리드앤톡영어도서관,2018.05.02.,127,0
808090,"영어학원(도서관)의 차별화 전략 - 컨텐츠, 속도, 브랜드?사진?[1]",리드앤톡영어도서관,2018.04.30.,127,2
910524,진접 리드앤톡의 진00학생의 사례?사진,리딩mentor,2019.03.27.,126,0
918387,"리드앤톡 영어도서관이 ""Premium 영어도서관 리드앤톡""으로 거듭납니다.?사진",리드앤톡영어도서관,2019.06.27.,125,2
872380,가맹센터를 선별적으로 받으려는 이유는 지역권 문제와 가맹센터들의 협력적 관계 때문~?사진,리드앤톡영어도서관,2018.11.29.,125,1
982000,원서만 읽은 초등학생이 중학교시험을 풀면??링크,잉글리쉬플랫폼,2019.10.31.,124,0
952549,불황기엔 이겨내려면 아이덴티티가 뚜렷해야 합니다.?사진,리드앤톡영어도서관,2019.07.24.,124,0
894031,개인브랜드가 대세인 시대에 프랜차이즈가 필요한 이유,리드앤톡영어도서관,2019.02.08.,124,1
908984,리드앤톡의 Writing 방식?사진,리딩mentor,2019.03.26.,123,0
814014,영어도서관 프로그램을 선택할 때 반드시 생각해봐야 할 사항?사진?[1],리드앤톡영어도서관,2018.05.18.,122,0
813363,리드앤톡 영어도서관 온라인프로그램 단어스펠링기능 추가?사진,리드앤톡영어도서관,2018.05.17.,120,1
960326,파닉스부터 영어소설 읽기까지 2년으로 완성되는 시스템.?링크,잉글리쉬플랫폼,2019.08.23.,119,0
864102,전문 리드앤톡 영어도서관을 강조하는 이유?사진,리드앤톡영어도서관,2018.11.07.,119,0
836197,바람직한 학원의 성장패턴?사진,리드앤톡영어도서관,2018.07.30.,119,1
816622,미래를 대비하려면 학원의 체질을 바꿔야 합니다.?[1],리드앤톡영어도서관,2018.05.25.,118,1
915804,[리드앤톡] 차곡차곡 만들어지는 영어천재- 워크북 공개?사진,리딩mentor,2019.04.08.,117,0
908182,리드앤톡- 경남 중곡 센터에요^^?사진동영상,리딩mentor,2019.03.18.,117,2
1043302,ORT 6 에서 ORT 9-2 영작까지?사진,리드앤톡영어도서관m,2020.04.23.,116,0
951558,"중등부, 고등부까지 영어원서로 수업하는 유일한 영어도서관?사진",리드앤톡영어도서관,2019.07.23.,115,2
1034509,영어원서 온라인 단어학습 프로그램에 어원학습기능 추가 - 리드앤톡 영어도서관?동영상,리드앤톡영어도서관,2020.03.26.,114,1
947382,영어도서관은 아직도 미개척 분야 - 리스크와 기회가 공존?사진,리드앤톡영어도서관,2019.07.10.,114,1
1042536,영어도서관 학습법,리드앤톡영어도서관m,2020.04.22.,113,1
997988,영어원서를 Reading 교재로 선택하는 이유?사진링크,리드앤톡영어도서관m,2019.12.12.,113,1
851971,리드앤톡 영어도서관 온라인 프로그램의 5차 업그레이드가 진행 중입니다.?사진동영상,리드앤톡영어도서관,2018.09.30.,112,1
957646,고등부에서 더욱 뚜렷한 차별화?동영상,잉글리쉬플랫폼,2019.08.14.,111,1
903093,프리미엄 영어도서관으로의 질적 전환,리드앤톡영어도서관,2019.03.04.,111,1
819257,원생수 증가를 위해 가맹센터와 함께 하는 리드앤톡 영어도서관 브랜딩?사진?[1],리드앤톡영어도서관,2018.06.02.,111,0
805432,100명 영어도서관학원 만들기 - 가맹센터간의 상호협력과 연대?사진?[1],리드앤톡영어도서관,2018.04.23.,111,1
966623,내신잡는 영어도서관 리드앤톡?사진,잉글리쉬플랫폼,2019.09.17.,110,2
944080,리드앤톡 영어도서관은 수용적 지식보다는 표현적 지식을 길러주기 위해 만들어진 프로그램입니다.,리딩mentor,2019.07.03.,109,3
961840,학원 몇 년을 다녀도 영어책 한 권을 제대로 못 읽는 현실?동영상링크,잉글리쉬플랫폼,2019.08.28.,108,0
888784,가맹센터들의 협력하는 문화는 리드앤톡의 자랑입니다?사진,리드앤톡영어도서관,2019.01.20.,108,0
829064,"학부모를 움직이는 파닉스에서 뉴베리, 로알드달까지 3년 OK 커리큘럼!",리드앤톡영어도서관,2018.07.08.,108,0
947951,제발 토익/토플만 공부하는데 목매달지 말고... 원서 읽으면 알아서 오른다.,리딩mentor,2019.07.11.,106,1
836257,내신대비 및 입시선행까지 해결해주는 영어도서관 프로그램?사진,리드앤톡영어도서관,2018.08.01.,106,0
1041261,원서로 대학가기!?링크,리드앤톡영어도서관m,2020.04.16.,105,2
1025855,<결과도 좋지만 과정이 더 바람직한 리드앤톡 영어도서관 학습법>?사진,리드앤톡영어도서관,2020.03.04.,105,1
995185,제 4차 사업설명회 후기입니다!?사진링크,리드앤톡영어도서관m,2019.12.05.,105,1
1025360,리드앤톡 3월 뉴스레터?사진링크,리드앤톡영어도서관m,2020.03.03.,103,2
958855,뉴베리 소설에 도달한 학생의 워크북 & 리포트 공개?사진,잉글리쉬플랫폼,2019.08.20.,103,1
912171,[리드앤톡] 영어를 채우다! 원서읽기의 힘!?사진,리딩mentor,2019.04.05.,103,0
1046094,리드앤톡 영어도서관의 5월 뉴스레터입니다.?사진,리드앤톡영어도서관m,2020.05.04.,102,3
1021759,해가 갈수록 정답은 리드앤톡 영어도서관?링크,리드앤톡영어도서관m,2020.02.24.,100,1
853277,노브랜드가 대세인 시대를 극복하려면 브랜드가 필요?사진,리드앤톡영어도서관,2018.10.11.,100,0
827448,"영어도서관의 역사, 한계점, 그리고 해결방법?사진",리드앤톡영어도서관,2018.07.02.,100,0
1007207,영어원서 읽기로 중학교 내신대비까지?링크,리드앤톡영어도서관m,2020.01.10.,98,1
967418,중학생도 원서읽기로 내신대비 -> 영어실력 향상 -> 학원가로 확장이전?동영상,잉글리쉬플랫폼,2019.09.19.,98,0
872133,유형별 영어원서 워크북 소개?사진,리드앤톡영어도서관,2018.11.28.,98,0
964636,기존 영어도서관은 무작정 노출로 무책임하게 접근?링크,잉글리쉬플랫폼,2019.09.11.,97,1
891617,신입회원 모집을 위한 강력한 신무기 - AI를 이용한 Book Talking?동영상,리드앤톡영어도서관,2019.01.28.,96,1
1021061,파닉스부터 시작한 초3 학생 5개월 후?사진링크,리드앤톡영어도서관m,2020.02.21.,95,1
981553,불황에 강한 리드앤톡 영어도서관,리드앤톡영어도서관,2019.10.29.,94,0
960734,"""고학년이 돼서 입시전문학원으로 가려구요..""?사진",잉글리쉬플랫폼,2019.08.26.,94,2
945704,리드앤톡 대구대사 원장님 학원 2호점 오픈!?사진,리딩mentor,2019.07.05.,94,0
951788,"""문학작품 수준의 영어원서를 구문독해로 읽고 이해하는 초등학교, 중학교 학생들 전국에 259명""?사진",리드앤톡영어도서관,2019.07.23.,93,2
802453,실제 사용학원들의 사용후기를 통해서 프로그램 만족도를 파악하세요~^^?사진?[5],리드앤톡영어도서관,2018.04.17.,93,1
1015599,영어원서 전문지도 리드앤톡 영어도서관 등?링크,리드앤톡영어도서관m,2020.02.06.,92,0
